-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,0,1,2,-1
-1,-1,-1,-1,-1,0,1,1,2,-1,-1,-1,-1,0,1,1,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,6,6,7,-1,-1,-1,-1,10,11,11,11,12,-1,-1,1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1
0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,5,7,-1,-1,-1,-1,-1,-1,-1,5,6,7,-1,-1,-1,-1,-1
5,6,7,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,5,7,-1,-1,0,1,2,-1,-1,5,6,7,-1,-1,-1,-1,0
5,6,7,1,1,2,-1,5,6,7,-1,0,1,1,1,1,1,1,2,-1,6,-1,-1,5,7,-1,-1,5,6,7,-1,-1,5,6,7,-1,-1,-1,0,6
5,6,6,6,6,7,-1,5,6,7,-1,5,3,4,6,6,3,4,7,-1,6,-1,-1,5,7,-1,-1,5,6,7,-1,-1,5,6,7,-1,-1,0,6,6
10,11,11,11,11,12,-1,5,6,7,-1,5,8,9,6,6,8,9,7,-1,11,-1,-1,10,12,-1,-1,10,11,12,-1,-1,5,6,7,-1,-1,5,6,6
